tenant_id,SalesOrgID,SalesRegion,SalesSubRegion,SalesState,SalesUnit,BLOrgID,BLRegion,BLSub-Region,BLDomain,BLComp,AcctID,AccountName,Sector,Industry,OrderNumber,CreateDate,ClosureDate,StartDate,EndDate,ProductID,ServiceLine,Service (Offer),TechID,Partner,Technology,ServiceMode,OrderType,ServiceType,EngagementType,ProjectValue,Margin%,CM%,Cross Sell 1 Service,Cross Sell 1 Technology,Cross Sell 1 Partner,Cross Sell 1 Projected Value,Cross Sell 1 CM,Cross Sell 2 Service,Cross Sell 2 Technology,Cross Sell 2 Partner,Cross Sell 2 Projected Value,Cross Sell 2 CM,Cross Sell 3 Service,Cross Sell 3 Technology,Cross Sell 3 Partner,Cross Sell 3 Projected Value,Cross Sell 3 CM,Up Sell 1 Service,Up Sell 1 Partner,Up Sell 1 Technology,Up Sell 1 Projected Value,Up Sell 1 CM,Up Sell 2 Service,Up Sell 2 Partner,Up Sell 2 Technology,Up Sell 2 Projected Value,Up Sell 2 CM,Up Sell 3 Service,Up Sell 3 Partner,Up Sell 3 Technology,Up Sell 3 Projected Value,Up Sell 3 CM
P2SCSJ91BR52L8U,SR#010111,North,North-SS,HARYANA,BALLABGARH,BL#01010622,Central,Central-E,Telecom,Process,ID#49126435,ACCELYA SOLUTIONS INDIA LIMITED,IT - Software,Computers - Software - Medium / Small,OR# 5308172,07-07-2023,2023-10-31 00:00:00,18-12-2023,02-08-2024,P#0907,Consulting,Compliance,T#0245,Gusto,"Gusto (HR, Payroll, and Benefits Management)",Captive,New,Type,FP,70265562,17.9538122606596,12615347.0853773,Apps Development,SNL Service Management,SNL,33024814.14,7265459.110799999,Network Management,Systems Integration,"KBR, Inc.",2641985.1312,264198.51312,Test Env & Data Serv,Xero (Online Accounting),Xero,2906183.64432,343458.0670559999,Apps Development,SNL Service Management,SNL,33024814.14,7265459.110799999,Network Management,Systems Integration,"KBR, Inc.",2641985.1312,264198.51312,Test Env & Data Serv,Xero (Online Accounting),Xero,2906183.64432,343458.0670559999
P2SCSJ91BR52L8U,SR#010133,South,South-W,KARNATAKA,RAICHUR,BL#03070355,North,North-W,LifeSciences,Operations,ID#33178258,ADANI WILMAR LIMITED,Edible Oil,Solvent Extraction,OR# 1870385,30-07-2020,2020-09-29 00:00:00,28-10-2020,27-10-2021,P#0203,ERD,Embedded Systems,T#0128,Aras,Aras Innovator,Direct,New,Type,T&M,63448866,29.8153955745053,18917530.3854378,Automation,Samanage (now part of SolarWinds),Samanage,33627898.98,11433485.6532,CySec-Monitor,Sublime Text,Sublime Text,36654409.88820001,5131617.384348001,Smart Services,Prometheus (Monitoring and Alerting),Prometheus,40319850.87702001,6671102.599652402,Automation,Samanage (now part of SolarWinds),Samanage,33627898.98,11433485.6532,CySec-Monitor,Sublime Text,Sublime Text,36654409.88820001,5131617.384348001,Smart Services,Prometheus (Monitoring and Alerting),Prometheus,40319850.87702001,6671102.599652402
P2SCSJ91BR52L8U,SR#010164,West,West-DW,MAHARASHTRA,NASHIK,BL#05010155,West,West-DW,Public Sector,Operations,ID#49126435,ACCELYA SOLUTIONS INDIA LIMITED,IT - Software,Computers - Software - Medium / Small,OR# 9638901,31-07-2024,2024-09-17 00:00:00,02-11-2024,26-03-2025,P#0205,ERD,Connected Systems,T#0487,Transcat,Transcat PLM,Direct,New,Type,T&M,12571139,19.5826126360748,2461757.45431253,Cy-Sec-Ops,Alexa,Amazon,6914126.45,2143379.1995,Data Management,IBM Rational Functional Tester,IBM,7674680.359500001,1074455.25033,Automation,IBM Cloud Pak for Multicloud Management,IBM,8442148.395450002,1396791.825429,Cy-Sec-Ops,Alexa,Amazon,6914126.45,2143379.1995,Data Management,IBM Rational Functional Tester,IBM,7674680.359500001,1074455.25033,Automation,IBM Cloud Pak for Multicloud Management,IBM,8442148.395450002,1396791.825429
P2SCSJ91BR52L8U,SR#010155,West,West-S,GUJARAT,SURAT,BL#03020311,North,North-N,LifeSciences,Technical,ID#49126435,ACCELYA SOLUTIONS INDIA LIMITED,IT - Software,Computers - Software - Medium / Small,OR# 8324689,06-04-2024,2024-07-19 00:00:00,29-08-2024,16-02-2025,P#0906,Consulting,Enterprise Planning,T#0338,Open Source,C#,Captive,AMC,Type,FP,73333252,32.6855305666249,23969362.49796,Data Engineering,Project Management,Arcadis,33733295.92,10794654.6944,Data Management,Sublime Text,Sublime Text,37443958.4712,5242154.185968001,Connectivity & Comms,Propel PLM,Propel,41188354.31832001,6814800.441758402,Data Engineering,Project Management,Arcadis,33733295.92,10794654.6944,Data Management,Sublime Text,Sublime Text,37443958.4712,5242154.185968001,Connectivity & Comms,Propel PLM,Propel,41188354.31832001,6814800.441758402
P2SCSJ91BR52L8U,SR#010129,South,South-W,KARNATAKA,HUBLI,BL#03070611,North,North-W,Telecom,Technical,ID#49126435,ACCELYA SOLUTIONS INDIA LIMITED,IT - Software,Computers - Software - Medium / Small,OR# 2259717,07-06-2024,2024-07-23 00:00:00,07-08-2024,12-06-2025,P#0905,Consulting,CRM,T#0509,Wrike,Wrike (Project Management),Captive,Renewal,Run,PPU,20457749,20.9834668935723,4292744.98858512,Migration Services,Salesforce CRM,Salesforce,4091549.8,1800281.912,Cy-Sec-Ops,Sysdig (Cloud Security and Monitoring),Sysdig,4459789.282000001,579772.60666,Management,CloudBolt IT Service Management,CloudBolt,4905768.210200001,753704.388658,Migration Services,Salesforce CRM,Salesforce,4091549.8,1800281.912,Cy-Sec-Ops,Sysdig (Cloud Security and Monitoring),Sysdig,4459789.282000001,579772.60666,Management,CloudBolt IT Service Management,CloudBolt,4905768.210200001,753704.388658
P2SCSJ91BR52L8U,SR#010102,Central,Central-E,CHHATTISGARH,RAIPUR,BL#03030211,North,North-NE,Engineering,Technical,ID#49126435,ACCELYA SOLUTIONS INDIA LIMITED,IT - Software,Computers - Software - Medium / Small,OR# 5351057,05-05-2020,2023-06-24 00:00:00,11-08-2020,26-12-2020,P#0802,Infra,Workplace Services,T#0510,Xamarin,Xamarin (Microsoft's Cross-Platform Tool),Captive,Renewal,Manage,R&R,64625526,30.9141134647643,19978408.4348408,Apps Maintenance,ManageEngine OpManager (Network Management),ManageEngine,31020252.48,8685670.694400001,Data Mining,MuleSoft,Salesforce,33501872.6784,3015168.541056,Apps Rationalization,MuleSoft,Salesforce,36852059.94624001,3919719.1033728,Apps Maintenance,ManageEngine OpManager (Network Management),ManageEngine,31020252.48,8685670.694400001,Data Mining,MuleSoft,Salesforce,33501872.6784,3015168.541056,Apps Rationalization,MuleSoft,Salesforce,36852059.94624001,3919719.1033728
P2SCSJ91BR52L8U,SR#010142,South,South-N,TAMIL NADU,KRISHNAGIRI,BL#03050211,North,North-SN,Engineering,Technical,ID#49126435,ACCELYA SOLUTIONS INDIA LIMITED,IT - Software,Computers - Software - Medium / Small,OR# 5707917,10-04-2021,2021-08-07 00:00:00,16-09-2021,16-09-2022,P#0704,QET,Test Env & Data Serv,T#0135,Atom,Atom,Direct,New,Build,T&M,44947732,16.912719422272,7601883.79983479,AI Management,Zoho CRM (Customer Relationship Management),Zoho,18878047.44,8306340.873599999,Apps Integration,Appgyver (Low-Code Development Platform),Appgyver,20577071.7096,1851936.453864,Apps Maintenance,Sublime Text,Sublime Text,22634778.88056,2407517.3900232,AI Management,Zoho CRM (Customer Relationship Management),Zoho,18878047.44,8306340.873599999,Apps Integration,Appgyver (Low-Code Development Platform),Appgyver,20577071.7096,1851936.453864,Apps Maintenance,Sublime Text,Sublime Text,22634778.88056,2407517.3900232
P2SCSJ91BR52L8U,SR#010121,North,West-N,RAJASTHAN,UDAIPUR,BL#03060233,North,North-SS,Engineering,Design,ID#65171585,ADANI GREEN ENERGY LIMITED,Power Generation & Distribution,Power Generation And Supply,OR# 2360538,08-04-2021,2021-05-19 00:00:00,03-06-2021,19-11-2021,P#0306,Digital,Data Architecture,T#0160,BuildFire,BuildFire (App Builder Platform),Direct,New,Type,FP,46395145,10.7661034748122,4994949.31798917,Compliance,Basecamp (Project Management),Basecamp,26909184.1,7803663.388999999,AI Management,Nessus Professional (Vulnerability Scanner),Nessus,29331010.669,3813031.38697,Maintenance,Flutter (UI Toolkit by Google),Flutter,32264111.7359,4956940.803061,Compliance,Basecamp (Project Management),Basecamp,26909184.1,7803663.388999999,AI Management,Nessus Professional (Vulnerability Scanner),Nessus,29331010.669,3813031.38697,Maintenance,Flutter (UI Toolkit by Google),Flutter,32264111.7359,4956940.803061
P2SCSJ91BR52L8U,SR#010151,West,West-S,GUJARAT,GANDHINAGAR,BL#05020344,West,West-N,LifeSciences,Architect,ID#33178258,ADANI WILMAR LIMITED,Edible Oil,Solvent Extraction,OR# 9768310,30-09-2020,2020-12-08 00:00:00,31-12-2020,04-05-2021,P#0906,Consulting,Enterprise Planning,T#0352,Open Source,MATLAB (though not fully open-source),Direct,Renewal,Design,R&R,49305664,31.514169060306,15538270.3092664,Data Engineering,SPSS,IBM,22680605.44,7938211.904,Supply Chain,Oracle Agile PLM,Oracle,23134217.5488,2776106.105856,Enterprise Planning,Datadog (Cloud Monitoring),Datadog,25447639.30368001,3608937.937612801,Data Engineering,SPSS,IBM,22680605.44,7938211.904,Supply Chain,Oracle Agile PLM,Oracle,23134217.5488,2776106.105856,Enterprise Planning,Datadog (Cloud Monitoring),Datadog,25447639.30368001,3608937.937612801
P2SCSJ91BR52L8U,SR#010166,West,West-DW,MAHARASHTRA,PUNE,BL#03050633,North,North-SN,Telecom,Design,ID#65171585,ADANI GREEN ENERGY LIMITED,Power Generation & Distribution,Power Generation And Supply,OR# 5415153,27-12-2020,2021-02-25 00:00:00,07-04-2021,30-01-2022,P#0202,ERD,Smart Services,T#0412,Sage,Sage Intacct (Financial Management),Captive,New,Build,FP,68906782,11.7230963937875,8078008.47571701,AI & Analytics,Autodesk Fusion 360,Autodesk,34453391.0,7579746.02,Compliance,Jira Software (with testing plugins),Atlassian,36520594.46,3652059.446,Management,IBM Rational Functional Tester,IBM,40172653.906,4747677.279800001,AI & Analytics,Autodesk Fusion 360,Autodesk,34453391.0,7579746.02,Compliance,Jira Software (with testing plugins),Atlassian,36520594.46,3652059.446,Management,IBM Rational Functional Tester,IBM,40172653.906,4747677.279800001
P2SCSJ91BR52L8U,SR#010167,West,West-DW,MAHARASHTRA,PUNE,BL#04030244,South,South-S,Engineering,Architect,ID#65171585,ADANI GREEN ENERGY LIMITED,Power Generation & Distribution,Power Generation And Supply,OR# 9745357,10-09-2022,2022-10-11 00:00:00,10-11-2022,24-02-2023,P#0501,Cloud,Migration Services,T#0451,SNC-Lavalin,Infrastructure Development,Direct,New,Manage,R&R,28098289,27.6792966857792,7777408.77593767,Automation,Norton Security Suite,Norton,11520298.49,4147307.4564,Test Management,Figma,Figma,12441922.3692,995353.7895360001,Compliance,Mentor Graphics (now part of Siemens),Mentor Graphics,13686114.60612,1293959.9263968,Automation,Norton Security Suite,Norton,11520298.49,4147307.4564,Test Management,Figma,Figma,12441922.3692,995353.7895360001,Compliance,Mentor Graphics (now part of Siemens),Mentor Graphics,13686114.60612,1293959.9263968
